第7页: ('http://img3m7.ddimg.cn/92/29/26911757-1_b_7.jpg', ' 芥子1', '18.00')
第7页: ('http://img3m1.ddimg.cn/98/1/1641156461-1_b_3.jpg', ' 草莓印上下全2册套装 不止是颗菜全文修订 附番外+草莓时光明信片WE-68正版TH闪发Z2甜宠青春文学都市言情', '29.99')
第5页: ('http://img3m4.ddimg.cn/9/13/25162344-1_b_3.jpg', ' 《落雪满南山》', '22.60')
第7页: ('http://img3m0.ddimg.cn/11/14/28521020-1_b_5.jpg', ' 与你清晨日暮（全两册）', '34.00')
第5页: ('http://img3m2.ddimg.cn/79/31/29227552-1_b_3.jpg', ' 吻痣套装1+2(全套2册）', '52.40')
第7页: ('http://img3m6.ddimg.cn/57/13/28518096-1_b_15.jpg', ' 见山是山见水是水，见你是全世界（大柠全新旅行告白书。动情讲述4个国家，36座城市，16段关于旅行中爱情的模样）', '24.90')
第5页: ('http://img3m7.ddimg.cn/78/9/29188347-1_b_5.jpg', ' 吻痣1 曲小蛐新作', '25.30')
第11页: ('http://img3m2.ddimg.cn/53/28/1610826182-1_b_2.jpg', ' 偷偷藏不住 全二册 竹已著 青春文学都市言情小说校园青春小说 奶油味暗恋 冰糖炖雪梨 正版', '40.00')
第7页: ('http://img3m4.ddimg.cn/48/20/1810224354-1_b_2.jpg', ' 黑天 木苏里著 现货包邮 印签版【五句印签随机1款+角色异形卡片×3+全新番外信纸】晋江青春文学言情耽美爱情畅销小说实体', '39.60')
第5页: ('http://img3m4.ddimg.cn/5/9/1193029304-1_b_16.jpg', ' 白色橄榄树(2册)【彩绘飞机盒+海报+明信片+手账+贺卡】 玖月�� 著 少年的你如此美丽 南江十七夏 百花洲文艺出版社', '40.90')
第7页: ('http://img3m2.ddimg.cn/27/4/25165332-1_b_3.jpg', ' 费马最终定理', '18.00')
第11页: ('http://img3m0.ddimg.cn/23/22/26475890-1_b_2.jpg', ' 慕南枝2（如意芳霏女主鞠婧�t、新版《倚天屠龙记》男主曾舜��倾情出演）', '19.50')
第7页: ('http://img3m9.ddimg.cn/35/28/25349579-1_b_5.jpg', ' 祸国 图璧（全二册）', '36.00')
第7页: ('http://img3m9.ddimg.cn/77/0/29123699-1_b_8.jpg', ' 女友拯救计划', '22.50')
第7页: ('http://img3m3.ddimg.cn/33/9/1710342843-1_b_1.jpg', ' 某某 木苏里著正版小说实体书 送立牌 一级律师晋江 一级律师后青春小说 热血青春力作晋江文学纯爱畅销书籍排行榜', '34.40')
第11页: ('http://img3m8.ddimg.cn/4/33/29155108-1_b_3.jpg', ' 热恋你', '28.00')
第7页: ('http://img3m2.ddimg.cn/84/26/29206272-1_b_3.jpg', ' 繁星降临2', '34.30')
第7页: ('http://img3m4.ddimg.cn/76/5/29118154-1_b_3.jpg', ' 跟你说句悄悄话', '18.40')
第7页: ('http://img3m8.ddimg.cn/88/33/27914128-1_b_9.jpg', ' 烈火军校（白鹿、许凯等主演，同名热血青春励志剧爱奇艺热播中！于正欢娱影视匠心质造，热血呈现！随书附赠1张海报，4张彩插）', '18.70')
第7页: ('http://img3m9.ddimg.cn/87/24/27860469-1_b_10.jpg', ' 时笙（上、下册）', '37.40')
